Position,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,0.53,82.75,248.202,87.55,110.57,9.25,10.0,27.5,31.0,11.8405,3.12,3.39,12.0
Center,0.54,82.75,248.424,87.75,111.0,9.25,10.0,27.5,31.0,11.82,3.1088,3.38,12.0
Center,0.55,82.75,248.89000000000001,87.8,111.0,9.25,10.0,27.625000000000004,31.125000000000004,11.815,3.1,3.38,12.0
Center,0.56,82.75,249.0,88.0,111.0,9.25,10.0,28.0,31.5,11.8,3.1,3.376,12.0
Center,0.5700000000000001,82.7615,249.49200000000002,88.0,111.0,9.25,10.0,28.0,31.5,11.8,3.0759999999999996,3.37,12.190000000000005
Center,0.58,82.8,249.924,88.0,111.0,9.25,10.0,28.0,31.849999999999994,11.793,3.0488,3.363,12.86
Center,0.59,83.0,250.202,88.0,111.0,9.25,10.206999999999999,28.0,32.0,11.773,3.0424,3.36,13.0
Center,0.6,83.0,251.11999999999998,88.0,111.0,9.25,10.3,28.0,32.0,11.76,3.036,3.35,13.0
Center,0.61,83.0,252.516,88.1,111.0,9.25,10.3,28.0,32.5,11.76,3.03,3.35,13.0
Center,0.62,83.045,252.636,88.25,111.0,9.25,10.3,28.0,32.5,11.754,3.03,3.347,13.0
Center,0.63,83.25,252.91400000000002,88.25,111.0,9.25,10.3,28.225,32.5,11.7355,3.0267999999999997,3.34,13.0
Center,0.64,83.25,253.576,88.25,111.0,9.25,10.3,28.5,32.5,11.718,3.0204,3.334,13.0
Center,0.65,83.25,254.435,88.3,111.35,9.25,10.3,28.5,32.5,11.68,3.014,3.33,13.0
Center,0.66,83.25,254.87,88.5,111.5,9.25,10.3,28.5,32.5,11.67,3.0075999999999996,3.33,13.219999999999999
Center,0.67,83.25,255.13,88.5,111.5,9.25,10.3,28.5,32.525000000000006,11.65,3.0012,3.3295,13.89
Center,0.68,83.25,256.52,88.75,111.5,9.25,10.3,28.6,33.0,11.648,3.0,3.32,14.0
Center,0.6900000000000001,83.2955,257.0,88.75,111.5,9.25,10.3,29.0,33.0,11.6365,3.0,3.3165,14.0
Center,0.7000000000000001,83.5,257.24,88.75,111.5,9.425,10.3,29.0,33.0,11.61,3.0,3.3049999999999997,14.0
Center,0.71,83.5,257.938,89.0,111.5,9.5,10.3,29.0,33.0,11.5835,3.0,3.3,14.0
Center,0.72,83.5,258.016,89.0,111.5,9.5,10.3,29.0,33.4,11.556000000000001,3.0,3.292,14.239999999999995
Center,0.73,83.5,258.2,89.0,111.87,9.5,10.3,29.0,33.5,11.530999999999999,3.0,3.29,14.909999999999997
Center,0.74,83.5,258.888,89.0,112.0,9.5,10.3,29.5,33.5,11.517999999999999,3.0,3.28,15.0
Center,0.75,83.5625,259.625,89.0,112.0,9.5,10.350000000000001,29.5,33.5,11.5,3.0,3.2775,15.0
Center,0.76,83.75,260.128,89.1,112.0,9.5,10.5,29.5,33.7,11.5,3.0,3.27,15.0
Center,0.77,83.75,262.8,89.25,112.13,9.5,10.5,29.5,34.0,11.4945,3.0,3.27,15.0
Center,0.78,83.75,262.884,89.25,112.5,9.5,10.5,29.85,34.0,11.49,3.0,3.27,15.0
Center,0.79,83.7905,263.81,89.4,112.5,9.5,10.5,30.0,34.0,11.4815,3.0,3.2615,15.0
Center,0.8,83.84,264.12,89.5,112.7,9.5,10.5,30.5,34.0,11.48,3.0,3.25,15.0
Center,0.81,84.0,264.6,89.6,113.0,9.5,10.5,30.5,35.0,11.4585,3.0,3.247,15.0
Center,0.8200000000000001,84.0,265.972,89.75,113.0,9.5,10.5,30.5,35.0,11.443999999999999,3.0,3.23,15.0
Center,0.8300000000000001,84.0,266.37,89.80000000000001,113.0,9.5,10.5,30.725,35.225,11.4255,3.0,3.2255000000000003,15.610000000000007
Center,0.84,84.0,267.152,90.0,113.0,9.61,10.5,31.0,35.5,11.408,3.0,3.214,16.0
Center,0.85,84.25,268.34999999999997,90.0,113.0,9.75,10.5,31.0,35.875,11.4,3.0,3.21,16.0
Center,0.86,84.25,270.17199999999997,90.0,113.0,9.75,10.5,31.449999999999996,36.0,11.355,3.0,3.21,16.0
Center,0.87,84.4825,272.86,90.2,113.0,9.75,10.551,31.5,36.0,11.338,3.0,3.2,16.0
Center,0.88,84.75,274.83200000000005,90.25,113.0,9.75,10.8,31.5,36.1,11.3,2.9968,3.2,16.0
Center,0.89,84.75,277.594,90.4,113.0,9.75,10.8,31.5,36.5,11.2965,2.9904,3.1754999999999995,16.630000000000003
Center,0.9,84.775,278.74,90.5,113.1,9.75,10.8,31.75,36.5,11.28,2.96,3.125,17.0
Center,0.91,85.0,280.19599999999997,90.5,113.5,9.75,10.8,32.325,36.825,11.2635,2.9352,3.12,17.0
Center,0.92,85.0,281.808,90.7,113.98,9.75,10.944,32.5,37.0,11.252,2.9223999999999997,3.0959999999999996,17.64
Center,0.93,85.0675,289.124,90.84,114.0,9.907500000000002,11.0,32.5,37.0,11.2405,2.9148,3.0519999999999996,18.0
Center,0.9400000000000001,85.25,290.65999999999997,91.0,114.36,10.0,11.0,33.0,37.0,11.199,2.9084,3.0,18.0
Center,0.9500000000000001,85.25,291.86,91.25,115.0,10.0,11.0,33.12500000000001,37.37500000000002,11.1825,2.902,3.0,18.0
Center,0.96,85.47,295.64,92.2,115.0,10.0,11.0,34.09999999999999,38.89999999999999,11.136000000000001,2.9,3.0,18.319999999999993
