Draft,Position,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
ALL,Forward,78.75,217.4,81.25,102,8.25,9,28.5,34.5,11.14,3.07,3.34,NA
ALL,Forward,76.5,209.6,82.75,103.5,8.5,9.3,29,35,11.68,3.18,3.07,NA
ALL,Forward,80.5,232.4,81.5,106.5,9,9,25.5,32.5,11.44,3.25,3.34,NA
ALL,Guard,74,169,81.25,101.5,8.75,9,26.5,34,10.53,3.17,3.1,NA
LOTTERY,Guard,75.25,202.8,82.5,104,8.25,8.5,33,39,12.02,3.2,3.03,NA
FIRST ROUND,Forward,79.75,209.6,84.25,106,9.75,10.5,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,75.5,184.8,79.25,97,8.5,9,41.5,48,11.45,3.2,3,NA
ALL,Guard,72,173.6,77,97.5,8.25,9,31.5,36,10.96,3.23,3.16,NA
LOTTERY,Forward,78,206.4,84.25,106,8.5,9,28.5,36.5,11.02,3.17,3.25,NA
FIRST ROUND,Forward,82,221.4,85.75,110.5,9,9.5,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,78,223.8,79,102,8.75,10,30,37.5,10.91,2.99,3.12,NA
ALL,Forward,77.5,179.2,78.75,99.5,8.5,9.3,33,41,11,3.01,2.98,NA
LOTTERY,Forward,76,187.6,84,101.5,8.75,9.8,34,42,10.45,3.03,2.98,NA
LOTTERY,Forward,77.75,231.8,81.25,104.5,9,9.5,NA,NA,NA,NA,NA,NA
ALL,Center,82.25,232.2,85.75,112,8.75,9.5,25.5,31,11.87,3.28,3.34,NA
LOTTERY,Center,81,239.8,85.25,106.5,9,9.5,30.5,36.5,11.63,3.3,3.21,NA
FIRST ROUND,Guard,75.25,177.6,76,98.5,8,9,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,73,195.2,80.75,99.5,9,9.5,31,38.5,11.08,3.13,3.1,NA
FIRST ROUND,Guard,72,202.4,76.25,96.5,8.25,8.8,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,80,238,87,107.5,9,10,26.5,32,12.7,3.5,3.3,NA
FIRST ROUND,Guard,76.5,210.6,84.75,105,9,10,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,79.5,206,84,105.5,8.5,9,34,38,11.65,3.32,3.14,NA
ALL,Guard,75,225.6,78.75,100,8.5,9,29.5,36.5,11.72,3.18,3,NA
ALL,Guard,76.5,186.2,81.5,103.5,8.5,9,27.5,34,11.51,3.17,3.35,NA
ALL,Forward,77.5,206.4,84.75,104,9,9.3,36,42.5,10.89,3.05,3.1,NA
LOTTERY,Guard,75,180.6,80.5,100.5,8.5,9.3,30.5,38.5,10.82,3.08,3.13,NA
FIRST ROUND,Guard,76,189,81.25,102.5,9,10,30.5,37.5,10.97,3.36,3.22,NA
ALL,Forward,79.5,225.4,83,107,8.75,9.3,NA,NA,NA,NA,NA,NA
LOTTERY,Center,83.25,248.4,88,112.5,9.25,10.5,27,33,11.85,3.5,3.29,NA
ALL,Guard,76.5,197.2,78.25,101,8,8.3,25,35,10.94,3.19,3.07,NA
LOTTERY,Forward,79.75,242.4,81.75,105.5,9,9.8,27,32,11.64,3.15,3.29,NA
LOTTERY,Center,81,250.2,87.25,106,9,9.8,37,44.5,11.59,3.38,3.05,NA
FIRST ROUND,Guard,75,202,79.75,99,8.5,9.8,34.5,41.5,11.46,3.1,3.13,NA
ALL,Guard,72.75,162.2,79,98.5,8.5,9,34.5,38.5,11.14,3.1,3.08,NA
LOTTERY,Forward,80.5,203,87.25,110,9.25,9.5,31.5,35,12.19,3.08,3.06,NA
LOTTERY,Forward,80.75,219,85.25,107.5,9,9.8,28.5,35.5,11.38,3.25,3.31,NA
ALL,Guard,74.25,196.8,79.75,101,8.25,8.8,29.5,35.5,11.5,3.06,3.17,NA
ALL,Forward,79.5,237.4,86.25,105,9.5,9.5,28,35,11.69,3.23,3.27,NA
LOTTERY,Forward,77.75,204.8,83,103,8.5,9.3,30,42,10.7,3.18,3.04,NA
LOTTERY,Forward,76.5,190,81.75,103,8.75,8.5,29.5,36,11.2,3,3.04,NA
FIRST ROUND,Forward,80.25,188.4,82.25,106.5,9,8.8,34,39.5,10.69,3.04,3.12,NA
ALL,Guard,71.25,192.2,77.25,94,8.5,9,31.5,38,10.76,3.12,3.08,NA
ALL,Forward,79.75,225.8,84.75,107,9,9.5,31.5,38,11.2,3.42,3.15,NA
LOTTERY,Guard,72.75,180.8,74.75,96,8,9.5,30,35.5,11.47,3.26,3.11,NA
FIRST ROUND,Forward,79.5,234,84.75,108.5,9,10,NA,NA,NA,NA,NA,NA
ALL,Guard,74,200.8,80,100,8.75,8.8,28,33,11.33,2.47,3.26,NA
FIRST ROUND,Center,82,259.5,91.25,109,9.25,10,37,41,11.82,3.61,3.23,NA
LOTTERY,Forward,78,212.8,85.25,105.5,8.5,9,37,43.5,11.35,2.75,3.17,NA
ALL,Forward,78,226.4,83.5,106,8.75,10,34,38.5,10.87,2.42,3.22,NA
ALL,Forward,80.5,222.1,87.75,107,9,10.3,28,37,11.95,2.71,3.16,NA
ALL,Guard,72.5,185.2,75,95,8.25,10,31.5,40.5,10.44,2.22,3.02,NA
ALL,Forward,78,222.2,87.5,108,9,10.3,33,35.5,10.79,2.44,3.19,NA
LOTTERY,Forward,77.5,198.6,79.25,100.5,8.75,10,30.5,36.5,11.25,2.63,3.25,NA
ALL,Guard,75.5,203,79.5,102.5,9,9.8,28,34.5,11.04,2.5,3.18,NA
FIRST ROUND,Forward,76.5,214,81.75,101.5,8,8.8,30.5,39.5,10.64,2.28,3.12,NA
ALL,Guard,73.5,193,80,99.5,9,9,29.5,36.5,10.82,2.5,3.13,NA
ALL,Forward,78,196.6,83,104.5,8.75,9.5,31.5,37.5,12.16,2.62,3.38,NA
LOTTERY,Guard,74.75,193.4,79,97.5,8.25,9.5,37.5,42.5,10.59,2.49,3.11,NA
ALL,Guard,69.5,170.8,72.25,91.5,8.5,7.8,30.5,35.5,11.21,3.17,3.11,NA
LOTTERY,Forward,76.75,229,79.5,101.5,8.5,8.8,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,75,170.4,79.5,101,8.25,8.3,NA,NA,NA,NA,NA,NA
ALL,Guard,75.75,207.2,79,102.5,8.75,8.5,24,31,10.6,2.49,3.33,NA
ALL,Forward,80,235,86,109.5,9,9.5,23,31.5,11.56,2.96,3.31,NA
ALL,Guard,76,187.4,80.75,100.5,8.5,10,NA,NA,NA,NA,NA,NA
ALL,Guard,77,196,83,102,8.5,9.8,31,36,11.52,2.64,3.04,NA
ALL,Forward,77.75,233.5,84.75,102.5,9.25,10.5,28.5,35,11.77,2.9,3.37,NA
ALL,Forward,78,213.2,79.25,102,8.5,8.8,31.5,38.5,11.93,2.58,3.16,NA
LOTTERY,Guard,75,204,78,99,8,9.8,29,37.5,10.65,2.4,3.3,NA
FIRST ROUND,Forward,81.25,246.8,86,105.5,9,10.5,33,38,10.94,2.72,3.2,NA
LOTTERY,Forward,77.75,223,82.25,104,8.5,9.3,29,35,11.29,2.66,3.43,NA
LOTTERY,Forward,80.25,249.6,84.25,106.5,9.25,11,30,33.5,11.26,2.57,3.25,NA
ALL,Guard,72.5,194,79,99,8,9,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,74,185.8,80.25,99,8,8.8,29.5,35.5,11.21,2.46,3.17,NA
LOTTERY,Guard,74.5,193.4,78,100.5,8.75,9.8,NA,NA,NA,NA,NA,NA
ALL,Forward,80.5,219.2,86,109.5,9,8.8,26.5,37.5,12.29,2.67,3.45,NA
LOTTERY,Center,82.5,241.6,86.25,110,9,9,30,34,11.42,2.92,3.25,NA
LOTTERY,Guard,72.25,178.4,77.25,96.5,8,8.5,32.5,39.5,11.17,2.45,3.07,NA
ALL,Forward,77,185.2,81.5,104.5,8.25,9.8,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,81.25,224.6,86.25,110,9.25,9.3,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,77,201.6,79,99.5,8.25,9,34.5,44,11.4,2.43,3.09,NA
ALL,Forward,77.75,228,81,101,8.5,9.8,35,41,10.35,2.54,3.2,NA
FIRST ROUND,Center,79.25,243,88.75,108.5,9,10.5,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,73.5,170,73.75,96,7.5,8.3,30,34,10.78,2.59,3.28,NA
ALL,Forward,80.75,221.6,80,106,8.25,9.3,27.5,32,11.6,2.62,3.4,NA
LOTTERY,Forward,79.5,266.5,86,106,10.25,11,26,32.5,11.8,3.01,3.49,NA
ALL,Center,81.25,252.6,87.5,111.5,9,10.8,21.5,27,11.73,2.64,3.6,NA
ALL,Forward,77.5,205,84.25,105.5,9.25,10.3,29,39,11.17,2.61,3.28,NA
LOTTERY,Guard,72.5,196,78,97,8.75,8.3,24,28,11.15,2.74,3.61,NA
LOTTERY,Forward,77.5,230.2,86,105.5,9,10.8,32,38,11.1,2.49,3.18,NA
FIRST ROUND,Guard,76.25,203.8,81.5,102,8.5,8.8,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,79.75,208.4,84,107,9,9.8,30.5,37,11.09,2.95,3.27,4
LOTTERY,Center,84.75,208,91,115.5,9.25,9.5,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,73.5,179,75.25,95,7.5,9.3,36,42.5,9.97,2.78,3.08,7
ALL,Forward,78.25,200,82,103,8.5,9.8,32,35.5,10.98,3.21,3.26,1
ALL,Guard,73,181.2,79,98,8.25,9,27.5,33,11.11,3.11,3.26,4
LOTTERY,Forward,77.75,220.8,81.25,102,8.75,9.5,31,36.5,11.06,3.17,3.36,13
ALL,Forward,79,203.2,84,104,9,9.5,34,37.5,11.3,3.18,3.48,11
ALL,Center,85.25,237.2,88.75,113,9.5,10.3,27,31,11.95,3.3,3.51,NA
FIRST ROUND,Forward,79.25,207.2,80.25,102,8.25,9.5,34,40.5,10.61,3.05,3.15,10
ALL,Center,82,216.6,86.5,110,9.25,9.5,31.5,36.5,11.26,3.47,3.36,8
ALL,Forward,79.25,245.4,84.5,106.5,9.5,10.8,27.5,32,11.32,3.1,3.28,11
FIRST ROUND,Guard,77.25,194.2,81.5,100.5,8.25,8.5,NA,NA,NA,NA,NA,NA
ALL,Guard,75,192.4,80.75,101,9.25,10.8,29.5,34,10.69,2.96,3.28,13
ALL,Guard,74.75,222.2,80.5,99.5,8.5,9,32.5,38,10.79,3.13,3.22,14
LOTTERY,Guard,70.75,199.4,78,94.5,8.75,9,28.5,34,10.53,2.82,3.22,14
ALL,Center,89.25,288.8,98.25,122.5,10.5,10.5,22,26.5,13.01,3.46,3.78,8
LOTTERY,Center,80.75,237,87.25,110,9.25,10,29.5,33.5,11.29,3.05,3.21,13
LOTTERY,Forward,81.25,237.6,86.25,110,9.25,9.3,32.5,36.5,11.61,3.19,3.25,5
LOTTERY,Guard,72.75,167.8,76.5,95.5,8,8.8,30.5,36.5,10.48,3.07,3.27,4
LOTTERY,Guard,73.5,180.4,77.5,97,8,8.3,33,41.5,10.73,3.03,3.12,6
ALL,Guard,69.75,169.2,77.5,94,8.25,9.5,33.5,40.5,10.77,3.02,3.04,8
FIRST ROUND,Forward,82.25,218.6,87.5,110.5,9.25,10.5,27,34.5,11.74,3.23,3.37,5
LOTTERY,Center,81,232.8,85.75,107,9.5,10.3,30.5,35.5,11.46,3.25,3.28,13
FIRST ROUND,Guard,76.5,192.4,75.25,100.5,8,8.8,NA,NA,NA,NA,NA,NA
ALL,Forward,79.25,212.6,84.75,105.5,8.75,9.8,27.5,35.5,11.44,3.32,3.34,8
LOTTERY,Guard,74.5,235.4,85.25,103,9.5,9.8,26,34.5,11.34,3.43,3.34,10
ALL,Forward,76,215.6,83.25,104,9.5,10.3,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,76.25,194.4,76,98,8.25,9.5,26,31.5,11.21,3.12,3.4,2
FIRST ROUND,Guard,79,205.2,82,103,8,8.5,30.5,36.5,10.52,3.28,3.26,NA
FIRST ROUND,Guard,76.75,216.4,81.25,104,8,9.3,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,80.75,256.2,87,109.5,9.25,10.8,28,35.5,11.21,3.3,3.25,6
ALL,Forward,78.75,195.2,84.25,104.5,8,8.5,29,33,10.99,3.05,3.28,0
FIRST ROUND,Guard,76.5,NA,83,103,9,9,NA,NA,NA,NA,NA,NA
ALL,Forward,79,233,86.25,107.5,9.75,9.8,23.5,26,11.8,3.54,3.6,10
ALL,Guard,74.5,185.2,80.5,98.5,8.75,8.5,35,43,11.09,3.3,3.29,1
FIRST ROUND,Forward,76.5,224.2,85.25,104.5,8.75,10,31,38.5,12.15,3.1,3.24,5
LOTTERY,Forward,76.75,204.6,79.75,101,9.5,9.3,32.5,38.5,11.51,3.14,3.3,6
LOTTERY,Guard,76.75,192.2,82.25,102.5,8.25,9,28,35.5,10.44,2.99,3.32,7
ALL,Guard,77,194.8,81.5,103,8.5,8.8,29.5,37.5,11.26,3.24,3.38,9
LOTTERY,Forward,80.25,191.6,84.25,105.5,9,10,29.5,33.5,11.54,3.23,3.32,0
ALL,Guard,76.5,206.4,78,101,8.5,9.5,24,30,11.6,3.34,3.43,NA
LOTTERY,Guard,75.25,202.4,79.25,98,8.25,8.5,32,38.5,10.76,3.13,3.23,2
LOTTERY,Forward,79.25,209.6,85.75,106.5,9.25,9.3,30.5,37,10.88,3.13,3.38,9
LOTTERY,Guard,76.25,205.6,82.75,100.5,9,10,30.5,38.5,11.71,3.12,3.17,19
LOTTERY,Forward,78,254.4,83.75,103.5,9,9.5,33,38,11.63,3.26,3.3,18
ALL,Guard,71.5,180,75.5,96.5,7.75,8,29,37,11.01,3.07,3.2,0
FIRST ROUND,Guard,75.5,190.8,78.75,99.5,8.25,8.5,28,35.5,10.59,3.14,3.27,NA
FIRST ROUND,Guard,76,212.6,81,103,8.75,8.8,27,34,10.82,3.03,3.14,2
ALL,Forward,81.75,210.4,84,109.5,8.75,9.5,NA,NA,NA,NA,NA,NA
ALL,Forward,78.5,207.8,84.5,105.5,9,9,NA,NA,NA,NA,NA,NA
ALL,Forward,80.75,255.8,87.25,109,9.5,9.3,26,32.5,12.03,3.76,3.42,3
LOTTERY,Forward,79.25,214,85,106,9,10.5,32.5,35.5,10.63,3.05,3.25,9
ALL,Forward,81.5,227.2,82.5,107,8.5,9,27,38,11.01,3.03,3.27,7
LOTTERY,Forward,76,240.6,81.75,102.5,8.75,9,30,34,10.77,2.87,3.37,15
LOTTERY,Forward,76.5,196.8,84.25,103.5,8.75,9.3,29.5,36.5,11.16,3.04,3.37,9
ALL,Forward,80.5,227.2,85.25,106,8.75,8.5,27,35.5,11.85,3.24,3.3,11
FIRST ROUND,Forward,78.5,230.4,86.25,106.5,9,10.3,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,69.5,172.4,74.25,93.5,8,9.8,30.5,40.5,10.76,3.11,3.07,5
LOTTERY,Guard,75,206.6,81,100,8.5,9,31,38,11.57,3.15,3.16,NA
FIRST ROUND,Guard,75.5,191.4,77,97.5,7.75,9,NA,NA,NA,NA,NA,NA
ALL,Forward,78.25,208.8,82.75,103,8.5,9.5,27.5,35,10.39,3.09,3.34,4
FIRST ROUND,Forward,77.75,240.2,81.75,104.5,9,10.5,26,31.5,10.83,3.27,3.33,20
FIRST ROUND,Forward,78.25,195.8,82,104.5,8.25,9.5,29,37.5,10.7,2.94,3.3,8
ALL,Guard,74.75,217.4,80.75,99,8.5,10,32.5,40.5,11.5,3.09,3.15,10
FIRST ROUND,Guard,75,198,79.25,97,8.25,10,32.5,40.5,10.31,3.04,3.15,NA
LOTTERY,Forward,81,194.8,86.25,110,9.25,9.5,29.5,35,12.48,3.48,3.21,0
ALL,Center,83.25,225.6,94,115.5,9.75,10.3,NA,NA,NA,NA,NA,NA
ALL,Guard,73.25,207.6,75.5,96.5,8,8.3,27,33,11.39,3.21,3.31,7
LOTTERY,Forward,79.25,223.8,87.25,106.5,9,8.5,30.5,35,11.2,3.28,3.17,11
ALL,Guard,77,200.2,81,102,8.5,9.3,32,37.5,11.04,2.87,3.07,9
ALL,Forward,78.25,202,82.25,103.5,9,10,30.5,34,11.58,3.33,3.28,0
FIRST ROUND,Forward,77.25,220.4,81.5,103.5,9,9.8,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,75.5,194.6,81,98.5,8.5,8.5,32.5,38,11.11,3.44,3.2,17
ALL,Forward,77.75,208,82.25,105,9,9.8,26,33,11.51,3.29,3.33,5
LOTTERY,Guard,73,198.4,76,96,8.25,9.3,29,37,10.59,3.11,3.15,7
LOTTERY,Guard,75,198.8,80.25,100,8.5,9.8,25,31.5,11.89,3.4,3.17,0
LOTTERY,Guard,72.25,196.2,76.25,95,9.25,8.5,29,36.5,11.04,3.05,3.18,14
ALL,Forward,80.75,251.4,88.5,109,8.5,9,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,76.25,197,83.5,103,8.75,9,32.5,40.5,10.53,3.14,3.1,1
FIRST ROUND,Guard,75.5,200.6,78,97.5,8.25,9,34.5,42,10.72,3.12,3.11,12
ALL,Guard,73.5,191,80.25,97.5,8.75,10,34,41.5,10.93,3.09,3.18,6
FIRST ROUND,Forward,76.25,199.6,81.25,102.5,9,9.3,28,35.5,11.11,3.14,3.2,8
ALL,Guard,73.5,183.2,77.25,98,8.5,8,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,76.5,198.2,85.75,105,9.5,9.5,31,40.5,11.24,3.08,3.08,0
FIRST ROUND,Guard,76.5,180,83.5,104,9,9,NA,NA,NA,NA,NA,NA
ALL,Guard,72.25,186.4,78.25,96,8.5,9.5,31,37,11.28,3.15,3.21,14
ALL,Center,85.25,303,89,111.5,10,10.5,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,76.25,206.4,79.75,102,8.5,10,25,31,10.95,3.16,3.27,6
LOTTERY,Forward,78.5,211.6,87.5,107,9.25,10.3,27.5,32,11.28,3.15,3.36,4
FIRST ROUND,Guard,71.75,187,79.5,97,8.75,8.5,25.5,33,10.96,3.22,3.27,NA
FIRST ROUND,Guard,78.25,194,79.5,101.5,8.25,8.5,31,38,10.89,2.97,3.09,9
ALL,Forward,81.75,236,89.25,110,10,10,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,78,229.4,87,105,9,9.5,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,79.25,216.6,80.75,103,8.5,9.8,25,31,11.83,3.28,3.38,8
LOTTERY,Forward,76.75,218.6,83.5,101.5,9,10.3,31,39,10.75,3.08,3.29,15
FIRST ROUND,Forward,79.75,212.6,83.75,108,8.75,9.3,NA,NA,NA,NA,NA,NA
ALL,Center,78.5,246,84,106.5,9.25,10,31.5,35,12.28,3.36,3.28,12
ALL,Forward,76.75,195.8,82,101.5,8.5,8.8,29,36.5,10.43,2.75,3.26,6
ALL,Forward,79.25,246.2,84.5,107.5,9.25,10,27,31.5,11.35,3.13,3.17,18
ALL,Center,83.5,250.4,86,110.5,9.75,9.5,27.5,32,11.77,3.31,3.23,9
ALL,Guard,74.25,193.2,80.5,99.5,8.5,9.5,31,36.5,11.48,3.33,3.23,1
LOTTERY,Forward,80.5,219.6,84.5,108,9,9.3,29.5,36,11.89,3.25,3.33,5
LOTTERY,Guard,76.5,207.2,84.75,99.5,8.75,9.5,30,33,11.07,3.19,3.25,2
ALL,Forward,78.5,211.6,76.75,100,8.25,9.5,30.5,37,11.25,3.18,3.15,4
ALL,Guard,74.5,189.2,77.5,98.5,8.5,9.5,27.5,33.5,10.9,3.18,3.13,NA
FIRST ROUND,Guard,75,210.8,84,102,9,9.8,33,42,11.08,3.03,3.04,12
ALL,Forward,77,211.2,82.75,103.5,9,9,27,34,11.53,3.11,3.22,7
ALL,Forward,81.5,211,84.25,108.5,8.75,9.3,NA,NA,NA,NA,NA,NA
ALL,Forward,80.75,222.4,86,108,9.25,9.5,25,33,11.26,3.35,3.2,0
FIRST ROUND,Guard,76,188.4,79.25,98,9,10,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,72.5,183,79.25,98.5,8.25,8.5,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,76,188.6,78.75,100,8,9,31,39.5,11.26,3.21,3.11,8
FIRST ROUND,Guard,74.25,183.2,81.25,99.5,8.75,9,32,41.5,11.27,3.16,3.1,1
FIRST ROUND,Forward,74.75,198.6,81.75,100,8.75,8.3,33,41.5,11.02,3.15,3.05,10
LOTTERY,Forward,81,215.4,88.75,109,9.25,9,26,32,11.48,3.2,3.34,12
FIRST ROUND,Forward,80,253.8,86,107.5,9,9,28.5,35.5,12.28,3.35,3.38,8
LOTTERY,Guard,74.5,198.8,82.5,101,8.75,9.3,30,35,10.96,3.18,3.18,14
ALL,Guard,76.25,204.2,80.75,98,8.5,9.5,33.5,39.5,11.37,2.99,3.12,12
ALL,Guard,75.75,198,78.75,98,8.25,10.5,32,40,11.02,2.97,3.14,11
FIRST ROUND,Forward,82.5,241.4,84,108,9,10.8,27,34,11.48,3.07,3.18,8
ALL,Guard,75.75,196.2,82.25,99.5,9,9.5,31.5,40,10.87,2.91,3.06,12
ALL,Forward,78.5,223,86.5,107,9,10.3,27,34,11.39,3.43,3.2,3
ALL,Center,80.25,249.4,89,111,9.75,10.3,28,33.5,12.79,3.27,3.3,14
ALL,Forward,78,200.4,79.25,103.5,8.5,9.8,28,33,10.86,3.28,3.19,14
FIRST ROUND,Guard,72.5,177.8,75,95.5,8,9.3,NA,NA,NA,NA,NA,NA
ALL,Forward,80.75,242.6,86.75,108,9.5,8.8,33.5,38.5,11.94,3.24,3.24,12
FIRST ROUND,Center,81,233.6,89.25,109.5,9.5,10.5,31.5,35.5,11.82,3,3.21,4
LOTTERY,Guard,73,192.4,81.25,99.5,8.5,8.8,33,35.5,11.24,2.98,3.15,7
LOTTERY,Center,80.5,252.2,90.25,110.5,9.5,10,29.5,32.5,12.52,3.48,3.44,11
FIRST ROUND,Forward,78.25,232.4,86.25,107.5,9.25,9.5,NA,NA,NA,NA,NA,NA
ALL,Forward,77.5,213.2,82,105,9.25,9.8,23.5,31,11.62,3.08,3.44,5
LOTTERY,Forward,76.75,221.6,82,103.5,8.75,10,30,36.5,11.7,3.22,3.22,8
ALL,Forward,78.25,193.4,82.25,104.5,8.5,9,30,37,11.18,3.19,3.26,11
LOTTERY,Forward,79,223.6,83.75,104.5,9.25,9.5,31.5,38,10.63,2.83,3.21,16
LOTTERY,Forward,77.75,218.6,82,104.5,8.75,10.3,31,35.5,11.47,3.35,3.17,16
ALL,Forward,80,182.2,88,110.5,9.25,10.5,NA,NA,NA,NA,NA,NA
FIRST ROUND,Center,81.25,248.8,89,112.5,9.5,9.5,24.5,27.5,11.79,2.99,3.44,5
ALL,Guard,73.25,222.4,81,99.5,9,9.3,28,33.5,10.95,2.85,3.38,11
LOTTERY,Forward,77,220.2,78,100.5,8.25,9.3,31,37.5,11.14,3.24,3.21,16
LOTTERY,Forward,81.5,247.8,90,112.5,9.5,10.3,25.5,33,11.42,3.12,3.37,7
FIRST ROUND,Forward,80.25,225.2,83.25,106.5,9,10,33,37.5,11.66,3.27,3.27,15
FIRST ROUND,Forward,82.25,232.2,85,111,8.75,9.3,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,75,182.6,77.25,99.5,8.5,9.3,30.5,36,10.55,2.98,3.16,8
LOTTERY,Forward,76.5,205.2,81,100,8.5,9.3,31.5,38,11.18,3.03,3.13,13
ALL,Guard,77.25,200.6,83,101,8.5,9.5,34,39,10.84,2.98,3.15,9
LOTTERY,Guard,70.75,185.2,77.5,95,8,7.8,27.5,33.5,11.34,3.26,3.21,1
FIRST ROUND,Forward,77.5,184.4,80.75,103,8.5,10,28.5,38,11.16,3.22,3.32,NA
FIRST ROUND,Guard,74,169.6,78.5,100,8.5,8.5,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,81.25,232,87.25,109.5,9.5,10.8,27,32.5,11.08,3,3.34,5
FIRST ROUND,Forward,75.75,209.2,80.25,101,8.5,9.5,27.5,35.5,11.15,3.02,3.18,9
ALL,Forward,78.25,254.2,87.25,104.5,8.75,10,29,33.5,11.81,2.94,3.27,16
ALL,Forward,79.25,233.4,84.5,105,8.75,9.8,31.5,37,12.31,3.31,3.36,11
ALL,Forward,77.5,193.4,85,105.5,8.75,9.5,31.5,36,11.25,3.23,3.36,5
ALL,Forward,77.75,219.4,87.25,107,9,9.5,26.5,31.5,11.78,3.08,3.43,NA
ALL,Forward,79,200.8,83,104.5,8.75,9.3,29.5,35.5,10.8,3.06,3.3,NA
LOTTERY,Guard,74,201.6,79.5,98,8.25,9,34.5,42,10.94,2.7,3.14,9
ALL,Forward,76.25,202.4,80,102,8.25,9.5,26.5,31,11.34,2.93,3.41,NA
FIRST ROUND,Forward,76.5,196.2,77.25,98.5,8,8.8,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,80,222.6,84.25,107.5,8.5,9.5,27,34,10.72,2.98,3.25,12
ALL,Forward,80.75,222.2,83,107,8.5,9.5,29,34.5,11.55,3.27,3.27,6
FIRST ROUND,Forward,80.25,215,84,107.5,8.75,8.8,29.5,33.5,11.68,2.81,3.46,1
LOTTERY,Guard,71,188.8,75.25,94,8,9.3,34,41,11.41,3.09,3.18,15
ALL,Center,80.75,276.6,85,106,8.75,8.8,28,30.5,12.91,3.35,3.5,15
FIRST ROUND,Guard,73.25,211.4,82,97,8.5,9.5,36.5,40.5,11.53,3.07,3.01,10
LOTTERY,Guard,73.25,175.2,76,96.5,8.25,8.8,28,33.5,11,3.2,3.19,8
ALL,Forward,79.75,238.2,88,108,9,9.5,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,78.5,219.6,77,100,8,9.3,27,33,12.4,3.25,3.53,8
LOTTERY,Forward,77.25,241.4,81.75,102,8.75,9.5,35,40.5,10.58,3.07,3.16,19
ALL,Forward,79,238.6,85.25,106.5,9.5,10.3,28,39.5,12.17,3.31,3.16,5
FIRST ROUND,Center,82,229,87,111.5,8.75,9.8,26,30.5,11.8,3.31,3.46,NA
LOTTERY,Forward,79.25,232,82.75,105,8.75,10,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,80.75,219.6,85.5,109,8.75,9,28.5,32.5,12.68,3.23,3.35,3
LOTTERY,Forward,76.5,206.2,84,102,9.25,9.5,28.5,36,11.37,3.21,3.34,12
ALL,Forward,79,189.6,84.75,106,9.25,10.3,35.5,41.5,12.85,3.61,3.23,10
ALL,Guard,75.25,166.2,78,99,8.5,9.5,30.5,38.5,11.15,2.98,3.18,3
LOTTERY,Guard,76,176.4,81,102.5,8.25,9,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,79.5,245.6,87,108,9.5,10.3,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,75.5,211.6,82,103,8.75,8.8,27,30.5,11.48,3.03,3.36,15
ALL,Guard,73.25,195.2,74,95.5,8,8.8,24.5,32,10.75,2.92,3.27,6
ALL,Guard,71,188.6,74.5,95,8,8.5,26,32.5,11.28,3.12,3.29,9
LOTTERY,Forward,83.5,254,84,109.5,9,10.5,NA,NA,NA,NA,NA,11
FIRST ROUND,Guard,75.25,189.8,79.5,101.5,8.25,8.5,31,36.5,10.84,2.92,3.08,10
LOTTERY,Guard,73.5,190.2,79.25,99,8.75,9.3,27.5,34.5,10.42,3.08,3.19,10
FIRST ROUND,Forward,80.75,234.4,87,109.5,9.25,10.3,NA,NA,NA,NA,NA,NA
ALL,Center,82.5,248.4,85,108.5,9,10.5,26,31.5,12.85,3.3,3.45,6
ALL,Guard,75.25,212.4,81.75,97.5,8.75,9.5,30,35.5,10.77,2.96,3.45,NA
