Position,Draft,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,FIRST ROUND,0.5,82.75,243,88.5,111.5,9.375,10,26,32,11.82,3.12,3.29,6
Center,FIRST ROUND,0.51,82.76,243.12,88.5,111.5,9.4275,10,26.3,32.12,11.8176,3.108,3.2828,6.06
Center,FIRST ROUND,0.52,82.77,243.24,88.5,111.5,9.48,10,26.6,32.24,11.8152,3.096,3.2756,6.12
Center,FIRST ROUND,0.53,82.78,243.36,88.5325,111.5,9.5,10,26.9,32.36,11.8128,3.084,3.2684,6.18
Center,FIRST ROUND,0.54,82.79,243.48,88.585,111.5,9.5,10,27.2,32.48,11.8104,3.072,3.2612,6.24
Center,FIRST ROUND,0.55,82.8,243.6,88.6375,111.5,9.5,10,27.5,32.6,11.808,3.06,3.254,6.3
Center,FIRST ROUND,0.56,82.89,244.44,88.69,111.5,9.5,10,27.8,32.72,11.8056,3.048,3.2468,6.36
Center,FIRST ROUND,0.57,82.98,245.28,88.7425,111.5,9.5,10,28.1,32.84,11.8032,3.036,3.2396,6.42
Center,FIRST ROUND,0.58,83.07,246.12,88.795,111.5,9.5,10.054,28.4,32.96,11.8008,3.024,3.2324,6.48
Center,FIRST ROUND,0.59,83.16,246.96,88.8475,111.5,9.5,10.117,28.7,33.2,11.7992,3.0184,3.2284,6.54
Center,FIRST ROUND,0.6,83.25,247.8,88.9,111.5,9.5,10.18,29,33.5,11.798,3.016,3.226,6.6
Center,FIRST ROUND,0.61,83.36,248,88.9525,111.7,9.5,10.243,29.3,33.8,11.7968,3.0136,3.2236,6.66
Center,FIRST ROUND,0.62,83.47,248.2,89.005,111.9,9.5,10.3,29.6,34.1,11.7956,3.0112,3.2212,6.72
Center,FIRST ROUND,0.63,83.58,248.4,89.0575,112.1,9.5,10.3,29.9,34.4,11.7944,3.0088,3.2188,6.78
Center,FIRST ROUND,0.64,83.69,248.6,89.11,112.3,9.5,10.3,30.2,34.7,11.7932,3.0064,3.2164,6.84
Center,FIRST ROUND,0.65,83.8,248.8,89.1625,112.5,9.5,10.3,30.5,35,11.792,3.004,3.214,6.9
Center,FIRST ROUND,0.66,83.84,249.6,89.215,112.5,9.5,10.3,30.8,35.3,11.7908,3.0016,3.2116,6.96
Center,FIRST ROUND,0.67,83.88,250.4,89.3025,112.5,9.5,10.3,31.02,35.52,11.7764,3,3.2096,7.09
Center,FIRST ROUND,0.68,83.92,251.2,89.46,112.5,9.5,10.3,31.08,35.58,11.7356,3,3.2084,7.36
Center,FIRST ROUND,0.69,83.96,252,89.6175,112.5,9.5,10.3,31.14,35.64,11.6948,3,3.2072,7.63
Center,FIRST ROUND,0.7,84,252.8,89.775,112.5,9.5,10.3,31.2,35.7,11.654,3,3.206,7.9
Center,FIRST ROUND,0.71,84.05,253.14,89.9325,112.6,9.5,10.3,31.26,35.76,11.6132,3,3.2048,8.17
Center,FIRST ROUND,0.72,84.1,253.48,90.06,112.7,9.5,10.324,31.32,35.82,11.5724,3,3.2036,8.44
Center,FIRST ROUND,0.73,84.15,253.82,90.165,112.8,9.5,10.366,31.38,35.88,11.5316,3,3.2024,8.71
Center,FIRST ROUND,0.74,84.2,254.16,90.27,112.9,9.5,10.408,31.44,35.94,11.4908,3,3.2012,8.98
Center,FIRST ROUND,0.75,84.25,254.5,90.375,113,9.5,10.45,31.5,36,11.45,3,3.2,9.25
Center,FIRST ROUND,0.76,84.25,254.8,90.48,113.2,9.5,10.492,31.62,36.12,11.438,3,3.1904,9.52
Center,FIRST ROUND,0.77,84.25,255.1,90.5425,113.4,9.5,10.5,31.74,36.24,11.426,3,3.1808,9.79
Center,FIRST ROUND,0.78,84.25,255.4,90.595,113.6,9.5,10.5,31.86,36.36,11.414,3,3.1712,10.06
Center,FIRST ROUND,0.79,84.25,255.7,90.6475,113.8,9.5,10.5,31.98,36.48,11.402,3,3.1616,10.33
Center,FIRST ROUND,0.8,84.25,256,90.7,114,9.5,10.5,32.1,36.6,11.39,3,3.152,10.6
Center,FIRST ROUND,0.81,84.3,256.7,90.7505,114.2,9.5025,10.5,32.22,36.72,11.378,3,3.1424,10.87
Center,FIRST ROUND,0.82,84.35,257.4,90.761,114.4,9.555,10.5,32.34,36.84,11.366,3,3.1328,11.14
Center,FIRST ROUND,0.83,84.4,258.1,90.7715,114.6,9.6075,10.5,32.46,36.96,11.354,3,3.1232,11.41
Center,FIRST ROUND,0.84,84.45,258.8,90.782,114.8,9.66,10.5,32.78,37.12,11.3372,2.9992,3.1104,11.68
Center,FIRST ROUND,0.85,84.5,259.5,90.7925,115,9.7125,10.5,33.2,37.3,11.318,2.998,3.096,11.95
Center,FIRST ROUND,0.86,84.55,260.16,90.827,115,9.75,10.518,33.62,37.48,11.2988,2.9968,3.0816,12.22
Center,FIRST ROUND,0.87,84.6,260.82,90.9215,115,9.75,10.581,34.04,37.66,11.2796,2.9956,3.0672,12.49
Center,FIRST ROUND,0.88,84.65,261.48,91.016,115,9.75,10.644,34.46,37.84,11.2604,2.9944,3.0528,12.76
Center,FIRST ROUND,0.89,84.7,262.14,91.1105,115,9.75,10.707,34.88,38.02,11.2412,2.9932,3.0384,13.03
Center,FIRST ROUND,0.9,84.75,262.8,91.205,115,9.75,10.77,35.3,38.2,11.222,2.992,3.024,13.3
Center,FIRST ROUND,0.91,84.96,266.64,91.3875,115,9.7775,10.822,35.72,38.38,11.2028,2.9908,3.0096,13.57
Center,FIRST ROUND,0.92,85.17,270.48,91.65,115,9.83,10.864,36.04,38.6,11.1812,2.9868,3,13.84
Center,FIRST ROUND,0.93,85.38,274.32,91.9125,115,9.8825,10.906,36.16,38.9,11.1548,2.9772,3,14.11
Center,FIRST ROUND,0.94,85.59,278.16,92.175,115,9.935,10.948,36.28,39.2,11.1284,2.9676,3,14.38
Center,FIRST ROUND,0.95,85.8,282,92.4375,115,9.9875,10.99,36.4,39.5,11.102,2.958,3,14.65
Center,FIRST ROUND,0.96,86.2,285.4,92.868,115.4,10,11,36.52,39.8,11.0756,2.9484,3,14.92
Center,FIRST ROUND,0.97,86.6,288.8,93.351,115.8,10,11,36.64,40.1,11.0492,2.9388,3,15.19
Center,FIRST ROUND,0.98,87,292.2,93.834,116.2,10,11,36.76,40.4,11.0228,2.9292,3,15.46
Center,FIRST ROUND,0.99,87.4,295.6,94.317,116.6,10,11,36.88,40.7,10.9964,2.9196,3,15.73
Center,LOTTERY,0,80.3,208,83,104.5,8.5,7.8,22.5,25,12.52,3.5,3.62,4
Center,LOTTERY,0.01,80.3,209.288,83.56,104.92,8.5,7.856,22.875,25.5,12.5125,3.495,3.595,4.3
Center,LOTTERY,0.02,80.3,210.576,84.12,105.34,8.5,7.912,23.25,26,12.505,3.49,3.57,4.6
Center,LOTTERY,0.03,80.3,211.864,84.68,105.76,8.5,7.968,23.625,26.5,12.4975,3.485,3.545,4.9
Center,LOTTERY,0.04,80.324,213.608,85,106,8.56,8.12,24,27,12.49,3.48,3.52,5.2
Center,LOTTERY,0.05,80.38,215.96,85,106,8.7,8.4,24,27.5,12.415,3.455,3.5175,5.5
Center,LOTTERY,0.06,80.436,218.312,85,106,8.84,8.68,24,28,12.34,3.43,3.515,5.8
Center,LOTTERY,0.07,80.492,220.664,85,106,8.98,8.96,24,28.5,12.265,3.405,3.5125,6.1
Center,LOTTERY,0.08,80.56,221.192,85.06,106.12,9,9,24,29,12.19,3.38,3.51,6.4
Center,LOTTERY,0.09,80.63,221.416,85.13,106.26,9,9,24.125,29.125,12.1625,3.38,3.5075,6.7
Center,LOTTERY,0.1,80.7,221.64,85.2,106.4,9,9,24.25,29.25,12.135,3.38,3.505,7
Center,LOTTERY,0.11,80.75,221.816,85.25,106.54,9,9.024,24.375,29.375,12.1075,3.38,3.5025,7.3
Center,LOTTERY,0.12,80.75,221.872,85.25,106.68,9,9.108,24.5,29.5,12.08,3.38,3.5,7.6
Center,LOTTERY,0.13,80.75,221.928,85.25,106.82,9,9.192,24.875,29.5,12.065,3.3675,3.5,7.9
Center,LOTTERY,0.14,80.75,221.984,85.25,106.96,9,9.276,25.25,29.5,12.05,3.355,3.5,8.2
Center,LOTTERY,0.15,80.8,222.28,85.3,107.1,9,9.34,25.625,29.5,12.035,3.3425,3.5,8.5
Center,LOTTERY,0.16,80.87,222.672,85.37,107.24,9,9.396,26,29.5,12.02,3.33,3.5,8.8
Center,LOTTERY,0.17,80.94,223.064,85.44,107.38,9,9.452,26,29.625,12.015,3.3225,3.5,9.1
